Date of sale (dd-m-yyyy),Address,Location,Area (m^2),No. of rooms,Area of the plot (m^2),Closing price (kr)
26-Mar-2021,Domsvägen 7B,"CentraltYtterby,Kungälvskommun",159+62,6,600,5500000
25-Mar-2021,Grandalen 110,"Duvesjön,Kungälvskommun",65,2,1121,2375000
25-Mar-2021,Kroken 142,"Harestad,Kungälvskommun",NaN,NaN,1175,3900000
23-Mar-2021,Ekvägen 2,"Ytterby,Kungälvskommun",177+60,7,769,7700000
22-Mar-2021,Råckeröd 140,"Kärna,Kungälvskommun",66+20,3,2269,3800000
19-Mar-2021,Nätstigen 7,"Centralt,Kungälvskommun",120,4,299,3900000
18-Mar-2021,Hallbjörtorp 492,"Kärna,Kungälvskommun",104+8,3,1499,3900000
18-Mar-2021,Dösebacka 130,"Diseröd,Kungälvskommun",123+41,6,4859,5350000
17-Mar-2021,Åsgatan 17A,"Centrum,Kungälvskommun",84+44,4,903,5620000
17-Mar-2021,Tvetgatan 263,"Tveten,Kungälvskommun",100+50,6,138,3850000
16-Mar-2021,Olserödsgatan 86,"Kungälv-Olseröd,Kungälvskommun",104,5,288,4050000
16-Mar-2021,Tjuvkil 450,"Tjuvkil,Kungälvskommun",237+118,8,1434,3120000
16-Mar-2021,Rondan 19,"Rörtången/Ödsmålsmosse,Kungälvskommun",60+60,4,1927,4400000
16-Mar-2021,Åsebyberg 960,"Kode,Kungälvskommun",157+16,5,1038,3850000
16-Mar-2021,Ulvegärdegatan 15,"Ulvegärde,Kungälvskommun",140+96,7,1438,6100000
15-Mar-2021,Solhultsgatan 27,"Komarken,Kungälvskommun",100,4,560,3315000
12-Mar-2021,Flateby 480,"Harestad,Kungälvskommun",59+16,3,1194,1600000
11-Mar-2021,Björkebacka 114,"Kareby,Kungälvskommun",104,5,996,5100000
10-Mar-2021,Älvängen 130,"Harestad,Kungälvskommun",317+71,10,1180,5250000
3-Mar-2021,Tegskiftegatan 46,"Ytterby,Kungälvskommun",184+54,8,865,6850000
2-Mar-2021,Sjöhåla strandväg 12,"Kärna,Kungälvskommun",99,4,1441,4350000
27-Feb-2021,Skardet 120,"Kode,Kungälvskommun",141,6,2086,5300000
27-Feb-2021,Granliden 11,"Vedhall,Kungälvskommun","253+23,5",5,578,9200000
25-Feb-2021,Önneröd 220,"Kärna,Kungälvskommun",112,4,25370,3000000
24-Feb-2021,Duvesjön 232,"Duvesjön,Kungälvskommun",122,5,1076,4725000
22-Feb-2021,Annas väg 4,"Kärna,Kungälvskommun",102+7,4,1158,3700000
18-Feb-2021,Madängsgatan 13,"Centrum,Kungälvskommun",154+18,7,740,5750000
15-Feb-2021,Bokvägen 12,"Fontin,Kungälvskommun",175+35,6,635,7400000
12-Feb-2021,Tullaregatan 3,"Marstrandsön,Kungälvskommun",160,5,333,15800000
11-Feb-2021,Ulvegärdegatan 15B,"Ulvegärde,Kungälvskommun",80,4,914,3700000
8-Oct-2016,Solvagnsgatan 28,"Ytterby-Stället,Kungälvskommun",164+12,6,441,4725000
7-Oct-2016,Kärrhed 240,"Kärna,Kungälvskommun",48,2,2760,2100000
5-Oct-2016,Sköldgatan 5,"YtterbyStället,Kungälvskommun",137+8,5,437,4400000
30-Sep-2016,Signehög 210,"Kungälv-Romelanda,Kungälvskommun",142,6,945,3100000
29-Sep-2016,Hallsbrovägen 3,"Kärna,Kungälvskommun",60,2,1801,1150000
29-Sep-2016,Lökebergsvägen 41,"Lökeberg,Kungälvskommun",44+6,2,1511,2550000
29-Sep-2016,Domsvägen 3,"Ytterby,Kungälvskommun",157+99,6,921,4850000
25-Sep-2016,Plogvägen 180,"Kungälv,Kungälvskommun",106+5,NaN,338,4300000
23-Sep-2016,Bärtas väg 13,"Ödsmålsmosse,Kungälvskommun",75,3,1418,3250000
23-Sep-2016,Onyxvägen 19,"Kode,Kungälvskommun",155,7,557,4750000
17-Sep-2016,Lingonvägen 38,"Centralt,Kungälvskommun",127,5,428,4560000
14-Sep-2016,Djupuddsvägen 20,"Marstrand-Instön,Kungälvskommun",112,3,1438,3500000
13-Sep-2016,Kastellegårdsgatan 47,"KUNGÄLV,Kungälvskommun",116+50,4,938,3425000
10-Sep-2016,Rosenstensvägen 41,"Kode,Kungälvskommun",135,NaN,193,2800000
9-Sep-2016,Annas väg 25,"Kovikshamn,Kungälvskommun",62+22,3,1026,2730000
2-Sep-2016,Knaverstad-Ryr 580,"Aröd,Kungälvskommun",158+4,6,1012,2840000
1-Sep-2016,Solrosvägen 12,"Kärna,Kungälvskommun",135+96,8,818,3325000
30-Aug-2016,Bergåsvägen 16 C-D,"Ytterby,Kungälvskommun","175,5",6,600,4700000
28-Aug-2016,Åkerhög 310,"Vedhall-Åkerhög,Kungälvskommun",65,3,1500,2050000
26-Aug-2016,Skårby Mosse 870,"Bohuslän,Kungälvskommun",147+50,5,3073,4000000
25-Aug-2016,Rörtången 126,"Rörtången,Kungälvskommun",170+20,5,1638,8700000
24-Aug-2016,Sjöhåla Strandväg 14,"Kovikshamn,Kungälvskommun",164,4,1075,5700000
20-Aug-2016,Tegskiftegatan 20,"YTTERBY,Kungälvskommun",102+102,5,969,3550000
18-Aug-2016,Bärtas väg 23,"Ödsmålsmosse,Kungälvskommun",51+20,3,1380,3025000
15-Aug-2016,Långgatan 8,"Marstrandsön,Kungälvskommun",244+50,11,318,11250000
14-Aug-2016,Instölid 40,"Marstrand-Instön,Kungälvskommun",70,4,1010,3500000
12-Aug-2016,Åsebyberg 847,"KODE,Kungälvskommun",120+15,4,1163,3300000
8-Aug-2016,Bremnäs 305,"LYCKE,Kungälvskommun",115,4,1979,4000000
28-Jul-2016,Tröskvägen 256,"Ullstorp,Kungälvskommun",149+9,6,440,5355000
27-Jul-2016,Östra röd 248,"HARESTAD,Kungälvskommun",144,NaN,2006,4200000
25-Jul-2016,Stenstavägen 21,"Tjuvkil,Kungälvskommun",140+58,6,1223,6000000
20-Jul-2016,Rombacka 180,"Kareby,Kungälvskommun",53+7,2,2031,1075000
18-Jul-2016,Vedbackavägen 4 A + B,"Rödbo,Kungälvskommun",254+42,7,1046,2900000
15-Jul-2016,Lefstad 110,"Kärna,Kungälvskommun",182,8,2630,2600000
15-Jul-2016,Gunneröd 290,"Lycke,Kungälvskommun",132+39,4,2125,2300000
13-Jul-2016,Duvesjön 228,"Duvesjön,Kungälvskommun",121+37,5,1150,3400000
11-Jul-2016,Violgatan 7,"Ytterby,Kungälvskommun",139+36,7,588,4200000
10-Jul-2016,Instölid 65,"Marstrand-Instön,Kungälvskommun",60,4,1012,3320000
8-Jul-2016,Rörtången 103,"Rörtången,Kungälvskommun",162+62,5,1015,7250000
6-Jul-2016,Nereby 360,"Kärna-Harestad,Kungälvskommun",120+40,6,1149,3100000
6-Jul-2016,Skår 260,"RomelandaSkår,Kungälvskommun",31,2,785,250000
5-Jul-2016,Mariebergsvägen 130,"ÖstraKungälv-Marieberg,Kungälvskommun",230+41,10,2100,5520000
5-Jul-2016,Lerlycke 240,"Lerlycke-Kärna,Kungälvskommun",129+44,3,12665,4420000
4-Jul-2016,Rörtången 295,"Kode,Kungälvskommun",90+15,4,1795,5275000
4-Jul-2016,Dannemarksgatan 45,"Tega,Kungälvskommun",140,5,1072,4850000
4-Jul-2016,Krokens Väg 11,"Tjuvkil,Kungälvskommun",148,6,1155,6000000
1-Jul-2016,Briljantvägen 9,"KODE,Kungälvskommun",125,5,350,3200000
28-Jun-2016,Rörmossevägen 180,"Rörmossen,Kungälvskommun",110+135,6,1827,3725000
26-Jun-2016,Hammar 565,"Skäggstorp,Kungälvskommun",160,4,2210,3000000
22-Jun-2016,Byvägen 33,"KodeÖdsmål,Kungälvskommun",58,3,1871,2625000
5-Apr-2018,Gategården 182,"Hålta,Kungälvskommun",240+50,8,1484,4020000
1-Apr-2018,Valtersäng 11,"KungälvCentralt,Kungälvskommun",162,NaN,808,5495000
30-Mar-2018,Harkeröd,"Hålta,Kungälvskommun",98,3,818,795000
29-Mar-2018,Ulvesund 420,"Ytterby-Ulvesund,Kungälvskommun",47,2,1043,1650000
29-Mar-2018,Hallebäcksvägen 2,"Timmervik,Kungälvskommun",73+7,3,1029,2550000
27-Mar-2018,Snäckvägen 11,"Ödsmålsmosse/Rörtången,Kungälvskommun",45+25,2,1593,2000000
24-Mar-2018,Bergkristallvägen 1,"Kode,Kungälvskommun",132,5,501,4300000
23-Mar-2018,Hög 110,"Diseröd,Kungälvskommun",241,9,2835,4250000
20-Mar-2018,Rishammarvägen 32,"Kareby,Kungälvskommun",122+61,5,794,4750000
16-Mar-2018,Svärdgatan 8,"Ytterby,Kungälvskommun",137+8,5,428,5250000
11-Mar-2018,Rörmossevägen 140,"Rörmossen,Kungälvskommun",174,6,1407,4810000
10-Mar-2018,Dotorp 400,"Kärna,Kungälvskommun",114+54,5,5650,4200000
9-Mar-2018,Skomakarevägen 17,"Hålta,Kungälvskommun",178+24,6,2018,3730000
9-Mar-2018,Havregången 1,"Komarken,Kungälvskommun",147,6,504,3900000
7-Mar-2018,Åldermansvägen 4,"Ytterby,Kungälvskommun",130+125,7,695,4700000
27-Feb-2018,Jorsalagatan 1,"Iskällan,Kungälvskommun",119+97,7,891,4300000
26-Feb-2018,Prästvägen 830,"Diseröd,Kungälvskommun",259+48,10,3049,6250000
23-Feb-2018,Länsmansvägen 24,"Ytterby,Kungälvskommun",126+85,4,915,4600000
21-Feb-2018,Rättarevägen 11,"Ytterby,Kungälvskommun",105+122,6,477,4780000
21-Feb-2018,Västerhöjdsvägen 44,"Bohuslän,Kungälvskommun",104+15,6,285,4250000
20-Feb-2018,Hemvägen 15,"Diseröd,Kungälvskommun",138,5,NaN,3450000
14-Feb-2018,Grindvakten 31,"Grinden,Kungälvskommun",121,5,448,3700000
9-Feb-2018,Skardet 126,"Kode,Kungälvskommun",212,7,2456,6500000
8-Feb-2018,Arntorp 190,"Kareby,Kungälvskommun",85+92,4,1048,2735000
3-Feb-2018,Solskiftegatan 38,"Ytterby,Kungälvskommun",110+50,5,797,4560000
3-Feb-2018,Torsbyvägen 22,"Ytterby,Kungälvskommun",170+53,7,1650,4800000
1-Feb-2018,Flintstensgatan 1,"Ytterby-Stället,Kungälvskommun",122,5,304,4400000
30-Jan-2018,Duvesjön 304,"Duvesjön,Kungälvskommun",124,4,1180,3650000
30-Jan-2018,Hemvägen 9,"Diseröd,Kungälvskommun",137,5,438,3500000
26-Jan-2018,Poppelvägen 1,"Diseröd,Kungälvskommun",138,6,788,4500000
26-Jan-2018,Fasanstigen 5,"Skälebräcke,Kungälvskommun",126,5,362,3495000
22-Jan-2018,Rostock 338,"Bohuslän,Kungälvskommun",161,6,1083,5000000
19-Jan-2018,Prejelvägen 128,"Ullstorp,Kungälvskommun",122,5,293,4650000
14-Jan-2018,Kolonigatan 6,"Marstrand,Kungälvskommun",135+75,5,863,8300000
12-Jan-2018,Signehög 210,"Romelanda,Kungälvskommun",142+28,6,945,3350000
12-Jan-2018,Munkegärdegatan 339,"Munkegärde,Kungälvskommun",117,5,659,4750000
3-Jan-2018,Nordängen 2,"Sundhammar,Kungälvskommun",165+7,6,1936,6500000
2-Jan-2018,Kristiansborg 350,"Tjuvkil,Kungälvskommun",121+65,5,1099,5500000
22-Dec-2017,Duvesjön 180,"Duvesjön,Kungälvskommun",47,2,1650,1725000
21-Dec-2017,Råckeröd 150,"Kärna,Kungälvskommun",60,3,2095,2195000
20-Dec-2017,Ulvesund 530,"Ytterby-Ulvesund,Kungälvskommun",75+20,4,3233,3045000
13-Dec-2017,Prejelvägen 117,"Ullstorp,Kungälvskommun",122+8,5,596,4740000
13-Dec-2017,Krappvägen 571,"KUNGÄLV,Kungälvskommun",148+10,5,382,6000000
10-Dec-2017,Oskarsberg 120,"KungälvKareby,Kungälvskommun",208,5,1363,4200000
7-Dec-2017,Vandilgatan 4,"Ytterby-Stället,Kungälvskommun",197,6,885,5750000
6-Dec-2017,Fasanstigen 10,"Skälebräcke,Kungälvskommun",128,4,338,4000000
2-Dec-2017,Lefstad 230,"Kärna,Kungälvskommun",93+93,7,1603,3580000
29-Nov-2017,Prejelvägen 137,"Bohuslän,Kungälvskommun",122+10,5,423,4850000
27-Nov-2017,Plogvägen 191,"Ullstorp,Kungälvskommun","122+26,5",5,402,4800000
24-Nov-2017,Västra gatan 40,"Centralt,Kungälvskommun",133+50,6,1096,6350000
21-Jun-2016,Alelyckans väg 23,"Kode,Kungälvskommun",80+100,5,37080,9000000
19-Jun-2016,Krokens Väg 16,"Tjuvkil,Kungälvskommun",67+50,4,1590,3250000
14-Jun-2016,Stenstavägen 1,"Tjuvkil,Kungälvskommun",125+32,5,800,3850000
14-Jun-2016,Instölid 82,"MARSTRAND,Kungälvskommun",36+10,3,902,2320000
10-Jun-2016,Rönnvägen 7,"RomelandaDiseröd,Kungälvskommun",122+82,7,796,3300000
8-Jun-2016,Valler 300,"Valler-Romelanda,Kungälvskommun",185+52,7,2497,3450000
6-Jun-2016,Svartedalen 220,"Svartedalen-Björkärr,Kungälvskommun",30,3,1774,685000
4-Jun-2016,Fontinvägen 42,"Centrum,Kungälvskommun",118+7,4,440,5100000
3-Jun-2016,Bokvägen 10,"Centrum,Kungälvskommun",125+27,5,635,4400000
2-Jun-2016,Hermansby 150,"Kärna,Kungälvskommun",123+97,6,2397,4070000
1-Jun-2016,Duvesjön 348,"Kungälv-Duvesjön,Kungälvskommun",160+26,4,1927,5200000
31-May-2016,Granndalen 12,"Lycke,Kungälvskommun",65,2,1217,2050000
31-May-2016,Åsgatan 5,"Kungälv-Centrum,Kungälvskommun",120+60,6,948,5565000
31-May-2016,Hemmansgatan 3,"Ytterby-Tega,Kungälvskommun",158,6,859,3855000
31-May-2016,Jakobsvägen 27,"Aröd,Kungälvskommun",140,5,2050,4850000
30-May-2016,Olserödsgatan 114,"Kungälv-Olseröd,Kungälvskommun",144+132,7,712,5325000
27-May-2016,Slånbärsvägen 15,"MunkegärdeÖstra,Kungälvskommun",145+31,5,647,5100000
26-May-2016,Rosenstensvägen 33,"Kode,Kungälvskommun",112,4,620,3400000
26-May-2016,Stinneröd 260,"Bohuslän,Kungälvskommun",65+65,4,1734,1300000
26-May-2016,Onyxvägen 22,"Kodelantligt,Kungälvskommun",123,5,566,3210000
26-May-2016,Hällristningsgatan 26,"YtterbyStället,Kungälvskommun",75,3,404,2995000
23-May-2016,Duvesjön 371,"Romelanda-Duvesjön,Kungälvskommun",NaN,4,1808,3600000
23-May-2016,Mjölnarvägen 16,"Romelanda,Kungälvskommun",121+47,5,831,2385000
21-May-2016,Lerskärsvägen 63,"Tjuvkil,Kungälvskommun",110+10,3,884,3875000
21-May-2016,Briljantvägen 36,"Kode,Kungälvskommun",150,5,462,4100000
17-May-2016,Jägarvägen 6,"Romelanda,Kungälvskommun",159+16,6,564,3625000
16-May-2016,Plogvägen 174,"Ullstorp,Kungälvskommun",122,5,308,4175000
15-May-2016,Brunnefjällsvägen 3,"Vedhall,Kungälvskommun",94+16,4,1067,2695000
14-May-2016,Toreby 380,"Harestad,Kungälvskommun",157+99,7,2591,2902500
13-May-2016,Hemvägen 25,"Romelanda-Diseröd,Kungälvskommun",138+19,5,381,3250000
12-May-2016,Solskiftegatan 14,"Ytterby-Tega,Kungälvskommun",171+25,6,1091,3900000
12-May-2016,Marias Väg 2,"Aröd,Kungälvskommun",90,4,1608,3400000
11-May-2016,Almvägen 3,"Romelanda-Diseröd,Kungälvskommun",130,5,727,3300000
9-May-2016,Solvagnsgatan 3,"Ytterby-Stället,Kungälvskommun",140,4,360,4300000
9-May-2016,Skårby Mosse 880,"Skårby,Kungälvskommun","86,3+40",4,1782,2900000
6-May-2016,Ugglehed 180,"Önneröd,Kungälvskommun",106+64,5,15352,2730000
1-May-2016,Vena 318,"Ytterby,Kungälvskommun",112,4,9024,4100000
1-May-2016,Duvesjön 225,"Romelanda,Kungälvskommun",65,3,1800,1950000
29-Apr-2016,Duvesjön 201,"Duvesjön,Kungälvskommun",38+9,2,1390,1300000
28-Apr-2016,Munkholmsgatan 2,"Centralt,Kungälvskommun",137+73,7,893,4900000
28-Apr-2016,Björkstigen 9,"Romelanda,Kungälvskommun",185+46,7,937,3700000
25-Apr-2016,Settungsvägen 62,"Ullstorp,Kungälvskommun",140+26,6,372,4450000
24-Apr-2016,Situlagatan 2,"Ytterby,Kungälvskommun",150+20,6,787,4500000
22-Apr-2016,Äslingsvägen 8,"Tjuvkil,Kungälvskommun",183,6,1380,5650000
21-Apr-2016,Kärrhed 190,"Kärna,Kungälvskommun",122,4,1316,2850000
14-Apr-2016,Olvonvägen 71,"Kungälv-Romelanda,Kungälvskommun",115+115,6,2056,4725000
14-Apr-2016,Rättarevägen 16,"Ytterby,Kungälvskommun",105+122,6,732,4300000
12-Apr-2016,Ametistvägen 11,"Kode,Kungälvskommun",107,4,806,2850000
9-Apr-2016,Rådalsvägen 25 Havsutsikt,"Aröd,Kungälvskommun",88,3,1462,2995000
8-Apr-2016,Annas Väg 10,"Kärna,Kungälvskommun",62,4,1317,2600000
7-Jul-2018,Bufferöd 150,"Kungälv-Hålta,Kungälvskommun",130+130,6,1209,4550000
6-Jul-2018,Bäckliden 6A,"Bohuslän,Kungälvskommun",116,6,880,5710000
6-Jul-2018,Dösebacka 310,"Romelanda,Kungälvskommun",102+97,4,949,3450000
6-Jul-2018,Tegskiftegatan 20,"Ytterby,Kungälvskommun",102+102,6,969,4525000
1-Jul-2018,Fjällsholmen 360,"KÄRNA,Kungälvskommun",62,3,1780,3110000
30-Jun-2018,Glöskär 640,"Bohuslän,Kungälvskommun",72,3,3456,3800000
21-Jun-2018,Skårby mosse 930,"Kareby,Kungälvskommun",167+20,7,1299,3800000
21-Jun-2018,Lundby 502,"Kareby,Kungälvskommun",137,4,4214,4550000
15-Jun-2018,Helgonagatan 50,"Munkegärde,Kungälvskommun",117,4,2003,3890000
15-Jun-2018,Heavägen 15,"Lycke,Kungälvskommun",177,6,2041,5000000
15-Jun-2018,Klåverön 460,"Marstrand,Kungälvskommun",76+76,4,2303,4300000
14-Jun-2018,Dannemarksgatan 42,"Ytterby,Kungälvskommun",148,6,641,4800000
13-Jun-2018,Dösebacka 630,"Diseröd,Kungälvskommun",84+84,4,1407,2000000
13-Jun-2018,Bergsgatan 2,"Marstrand-Koön,Kungälvskommun",118+82,6,892,8600000
10-Jun-2018,Flateby 120,"Kärna,Kungälvskommun",167,6,2039,3150000
8-Jun-2018,Väktaregatan 9,"Bohuslän,Kungälvskommun",166+83,8,538,5300000
7-Jun-2018,Lundby 220,"Kareby,Kungälvskommun",146+45,5,1943,4650000
6-Jun-2018,Bremnäs 450,"Lycke,Kungälvskommun",52,2,1616,2400000
5-Jun-2018,Skrivarevägen 6,"Tunge,Kungälvskommun",104,4,162,3400000
4-Jun-2018,Gunneröd 130,"Lycke,Kungälvskommun",47,2,1333,1700000
3-Jun-2018,Bastövägen 12,"Kärna,Kungälvskommun",80+80,6,1024,4200000
2-Jun-2018,Kuskalundsvägen 39,"Bohuslän,Kungälvskommun",59+13,3,1745,2270000
2-Jun-2018,Korpedalsvägen 3,"Aröd,Kungälvskommun",115+85,5,993,3720000
1-Jun-2018,Nämndemansvägen 13,"Ytterby,Kungälvskommun",141,7,939,4700000
31-May-2018,Knaverstad-Ryr 450,"Kode,Kungälvskommun",44,3,885,1500000
31-May-2018,Fjällsholmen 190,"Marstrand,Kungälvskommun",80,4,2750,5200000
30-May-2018,Järpstigen 2,"Skälebräcke,Kungälvskommun",128,5,743,4675000
30-May-2018,Solberga 790,"Kode,Kungälvskommun",70+60,4,1380,3550000
29-May-2018,Kulperödsvägen 31,"Gullbringa,Kungälvskommun",148,5,2678,1500000
25-May-2018,Vrångholmen 150,"Marstrand/Kråkerön,Kungälvskommun",185+34,6,2207,11000000
25-May-2018,Hemmansgatan 7,"Ytterby,Kungälvskommun",155,6,875,4500000
24-May-2018,Bäckvägen 10,"Lökeberg,Kungälvskommun",55+5,4,1091,3910000
22-May-2018,Rörmossevägen 240,"Rörmossen,Kungälvskommun",58+15,3,5170,2215000
22-May-2018,Lievägen 228,"KungälvUllstorp,Kungälvskommun",125+10,4,250,4750000
22-May-2018,Lökebergsvägen 18,"Lökeberg,Kungälvskommun",110+65,4,55368,6225000
17-May-2018,Hermansby 228,"Kärna,Kungälvskommun",165+58,5,1503,5825000
17-May-2018,Gräsgången 6,"Kungälv,Kungälvskommun",125,4,514,3900000
17-May-2018,Gategården 260,"Risby/Hålta,Kungälvskommun",120+71,5,2337,5020000
16-May-2018,Brunnefjäll 110,"Kärna,Kungälvskommun",121+185,6,2124,3750000
16-May-2018,Sandvik 110,"HARESTAD,Kungälvskommun",153+36,5,998,3400000
14-May-2018,Galeasgatan 15,"Kungälv,Kungälvskommun",103+64,5,610,3500000
7-May-2018,Fasanstigen 8,"Skälebräcke,Kungälvskommun",128,5,362,4250000
7-May-2018,Brunnefjäll 190,"Kärna,Kungälvskommun",83+50,4,1536,2810000
6-May-2018,Enekullsvägen 32,"Ytterby,Kungälvskommun",101+20,4,807,3570000
3-May-2018,Dannemarksgatan 39,"Ytterby,Kungälvskommun",159+32,6,730,4000000
2-May-2018,Byvägen 22,"Ödsmålsmosse,Kungälvskommun",43+24,3,1930,2500000
30-Apr-2018,Rådmansgatan 4,"Centrum,Kungälvskommun",220,6,678,6175000
19-Apr-2018,Bäck 250,"Romelanda,Kungälvskommun",49,2,7867,1400000
19-Apr-2018,Rubinvägen 29,"KODE,Kungälvskommun",195,NaN,746,4200000
6-Apr-2018,Bokvägen 5,"Kungälvcentralt,Kungälvskommun",89+89,5,635,4450000
24-Apr-2022,Staby 375,"Kärna,Kungälvskommun",129,6,1558,5400000
24-Apr-2022,Granvägen 7,"Ytterby,Kungälvskommun",100+54,4,623,5300000
22-Apr-2022,Årsnäs 460,"Kungälv-Årsnäs,Kungälvskommun",40,3,2393,3600000
16-Apr-2022,Trankärr 223,"Trankärr,Kungälvskommun",NaN,6,958,5850000
14-Apr-2022,Marieberg 210,"Kungälv,Kungälvskommun",120+34,5,3245,3150000
14-Apr-2022,Dotorp 260,"Kungälv-Kärna,Kungälvskommun",162+9,6,2003,4775000
13-Apr-2022,Högalidsgatan 12,"Centraltvidälven,Kungälvskommun",139+72,7,816,6450000
13-Apr-2022,Kodevägen 15,"Kode,Kungälvskommun",147+123,6,1301,4525000
13-Apr-2022,Kungälvsvägen 27,"Grinden,Kungälvskommun",133,6,243,4950000
13-Apr-2022,Onyxvägen 1,"Kode,Kungälvskommun",155,7,818,4400000
4-Apr-2022,Kärnavägen 7,"Kärna,Kungälvskommun",97+133,7,786,3995000
3-Apr-2022,Åsebyberg 735,"Kode,Kungälvskommun",158+21,5,1362,6200000
30-Mar-2022,Lagvägen 4,"Ytterby,Kungälvskommun",129+20,5,816,5630000
30-Mar-2022,Marielundsvägen 12,"Koön,Kungälvskommun",74,3,854,5400000
30-Mar-2022,Gräsgången 5,"Kungälv,Kungälvskommun",121,4,343,4600000
30-Mar-2022,Åsebyberg 883,"Åsebyberg,Kungälvskommun",96,4,NaN,4630000
25-Mar-2022,Åsebyberg 755,"Kode,Kungälvskommun",75+40,3,961,3900000
25-Mar-2022,Västra Strandgatan 3,"Centraltvidälven,Kungälvskommun",111+61,5,650,6000000
17-Mar-2022,Matskärsvägen 6,"Tjuvkil,Kungälvskommun",155+19,7,521,6300000
16-Mar-2022,Prejelvägen 103,"Ullstorp,Kungälvskommun",106,4,372,5380000
15-Mar-2022,Vävra 425,"Tjuvkil/Lycke,Kungälvskommun",165+50,NaN,1193,7650000
15-Mar-2022,Briljantvägen 30,"Kode,Kungälvskommun",143,5,520,5400000
15-Mar-2022,Hallsbergsvägen 12,"Kode,Kungälvskommun",150+15,6,1639,5800000
11-Mar-2022,Rönnvägen 22,"Romelanda,Kungälvskommun",108+70,6,823,5000000
10-Mar-2022,Galärgatan 8,"Centrum,Kungälvskommun",119+62,5,655,4700000
10-Mar-2022,Bergkristallvägen 3,"Kode,Kungälvskommun",125+9,5,527,5460000
10-Mar-2022,Storskiftegatan 17,"ÖvreTega,Kungälvskommun",111,4,165,4600000
9-Mar-2022,Dammen 135,"Kode,Kungälvskommun",90+20,4,4698,3200000
9-Mar-2022,Rondan 19,"Ödsmålsmosse,Kungälvskommun",60+60,4,1927,5400000
9-Mar-2022,Tvetgatan 289,"Bohuslän,Kungälvskommun",130+9,5,127,4440000
7-Mar-2022,Marias väg 35,"Aröd,Kungälvskommun",70,3,1225,3450000
6-Mar-2022,Thorilds gränd 12,"Centralt,Kungälvskommun",83,6,470,8000000
4-Mar-2022,Västra gatan 31,"GamlaStaden,Kungälvskommun",262,9,636,8800000
3-Mar-2022,Östergårdsgatan 20,"Ytterby,Kungälvskommun",133+65,6,1154,5720000
3-Mar-2022,Glose 660,"Kärna,Kungälvskommun",60,3,1703,3330000
3-Mar-2022,Ivar Claessons gata 10,"Kungälv-Centralt,Kungälvskommun",105+53,5,967,5300000
24-Feb-2022,Häljeröd 170,"Romelanda,Kungälvskommun",102+48,4,13432,5750000
21-Feb-2022,Hallsbergsvägen 7,"Kode,Kungälvskommun",172+85,7,3363,5450000
19-Feb-2022,Grandalen 200,"Romelanda,Kungälvskommun",115+21,4,1937,4290000
18-Feb-2022,Fontinvägen 23,"Centralt,Kungälvskommun",168+75,6,1402,5900000
17-Feb-2022,Lefstadvägen 35,"Kärna,Kungälvskommun",127+61,5,1255,5700000
16-Feb-2022,Munkegärdegatan 321A,"Munkegärde,Kungälvskommun",99,NaN,357,4905000
14-Feb-2022,Åkerhög 394,"Vedhall,Kungälvskommun",148,4,1262,7250000
12-Feb-2022,Åsebyberg 868,"Bohuslän,Kungälvskommun",154,7,4234,6400000
9-Feb-2022,Signehög 360,"Bohuslän,Kungälvskommun",78+68,4,2771,3825000
8-Feb-2022,Hammarberg 895,"Kode,Kungälvskommun",67,NaN,1997,3360000
3-Feb-2022,Sundhammarsvägen 480,"Kovikshamn/Sundhammar,Kungälvskommun",167+13,5,2290,6475000
28-Jan-2022,Gamla Kungälvsvägen 9,"Ytterby,Kungälvskommun",65+88,4,1000,5555000
28-Jan-2022,Murhammarvägen 17,"Kareby,Kungälvskommun",168,6,2496,7300000
27-Jan-2022,Mjölnarvägen 3,"Diseröd,Kungälvskommun",137,5,534,4500000
21-Feb-2017,Mycklaborgsgatan 5,"Kungälv-Centralt,Kungälvskommun",140+20,5,664,3900000
18-Feb-2017,Högsberg 320,"Kode,Kungälvskommun",80+32,2,1114,2650000
16-Feb-2017,Hövdingagatan 1,"Centrum,Kungälvskommun",163+160,6,1030,5400000
16-Feb-2017,Häljeröd 260,"Häljeröd,Kungälvskommun",137+99,5,909,2600000
15-Feb-2017,Kuskalundsvägen 33,"Vävra,Kungälvskommun",83+13,4,1519,3250000
13-Feb-2017,Toreby Mosse 600,"Kungälv-Harestad,Kungälvskommun",104+16,4,1622,3750000
9-Feb-2017,Mycklaborgsgatan 6,"Kungälv-Centralt,Kungälvskommun",228,7,681,5120000
9-Feb-2017,Oxelvägen 12,"Romelanda,Kungälvskommun",109,5,289,3455000
8-Feb-2017,Hällristningsgatan 6,"Ytterby,Kungälvskommun",103,4,258,3350000
8-Feb-2017,Poppelvägen 4,"Kungälv-Romelanda,Kungälvskommun",155+34,6,800,4000000
7-Feb-2017,Skårby Station 500,"Kungälv-Kareby,Kungälvskommun",200+88,8,19677,6200000
7-Feb-2017,Staby 200,"KÄRNA,Kungälvskommun",132+72,5,1032,2562000
6-Feb-2017,Vena 295,"Ytterby-Vena,Kungälvskommun",154,5,3152,4850000
3-Feb-2017,Guddeby 272,"Ytterby,Kungälvskommun","168,5+37,5",8,1552,4700000
2-Feb-2017,Grepvägen 397,"Kungälv,Kungälvskommun",148,6,424,5600000
